"옵션 관리코드","옵션별상품코드","모델명","주문상품명","상품옵션","주문품목 단가","주문품목 수량","주문품목 결제금액","부가세여부","주문번호","주문상태(품목별)"
"","M1243766-00000000007","CFDABMAC32","첨이첨이 에어라인 남 런닝 에어로쿨 폴리스판 남아동 민소매 나시","모델명 : CFDABMAC32, 사이즈 : 90","4000","1","4000","부가세","20200605082434-34418368178","배송완료"
"","M1243767-00000000001","CFDABFAC01","첨이첨이 에어라인 끈런닝 에어로쿨 폴리스판 여아동 민소매 끈 나시","모델명 : CFDABFAC01, 사이즈 : 60(5~6세)","4000","2","8000","부가세","20200605082434-34418368178","배송완료"
"","M1243767-00000000005","CFDABFAC01","첨이첨이 에어라인 끈런닝 에어로쿨 폴리스판 여아동 민소매 끈 나시","모델명 : CFDABFAC01, 사이즈 : 80","4000","2","8000","부가세","20200605082434-34418368178","배송완료"
"","M1243890-00000000001","JHMTVZ49","JHMTVZ49 제임스딘 쿨 냉감 인견 남자 트렁크 사각 팬티 3매입 세트","사이즈 : 95","13284","1","13284","부가세","20200605082434-34418368178","배송완료"
"","M1243898-00000000002","BWT4519","BWT4519 BYC 모시메리 남 팬티 28호 면 마 혼방 남자 사각 트렁크 백색","사이즈 : 100","8425","2","16850","부가세","20200605082434-34418368178","배송완료"
"","M1243995-00000000005","CFDABMAC31","첨이첨이 화이트 인견 남 런닝 쿨 냉감 스판 남아동 민소매 나시","모델명 : CFDABMAC31, 사이즈 : 80","4500","3","13500","부가세","20200605082434-34418368178","배송완료"
"","M1243995-00000000007","CFDABMAC31","첨이첨이 화이트 인견 남 런닝 쿨 냉감 스판 남아동 민소매 나시","모델명 : CFDABMAC31, 사이즈 : 90","4500","2","9000","부가세","20200605082434-34418368178","배송완료"
"","M1243995-00000000006","CFDABMAC31","첨이첨이 화이트 인견 남 런닝 쿨 냉감 스판 남아동 민소매 나시","모델명 : CFDABMAC31, 사이즈 : 85","4500","4","18000","부가세","20200605082434-34418368178","배송완료"
"","M1244000-00000000003","JHMRV041","JHMRV041 제임스딘 베이직 쿨 냉감 인견 메쉬 남자 민소매 런닝","사이즈 : 95, 색상 : WH(백색)","8870","2","17740","부가세","20200605082434-34418368178","배송완료"
"","M1244014-00000000003","CBDABMAC15","첨이첨이 DSC 남아 런닝 08 40수 쿨 냉감 편면 레이온 인견 스판 남아동 민소매 나시","모델명 : CBDABMAC15, 사이즈 : 70(9~10세)","4500","1","4500","부가세","20200605082434-34418368178","배송완료"
"","M1244014-00000000004","CBDABMAC15","첨이첨이 DSC 남아 런닝 08 40수 쿨 냉감 편면 레이온 인견 스판 남아동 민소매 나시","모델명 : CBDABMAC15, 사이즈 : 75(11~12세)","4500","1","4500","부가세","20200605082434-34418368178","배송완료"
"","M1244015-00000000003","CBDABMAS07","첨이첨이 DSC 남아 즈로즈 04 쿨 냉감 인견 스판 남아동 드로즈 사각 팬티 2매입 세트","모델명 : CBDABMAS07, 사이즈 : 75(11~12세)","10500","3","31500","부가세","20200605082434-34418368178","배송완료"
"","M1244015-00000000002","CBDABMAS07","첨이첨이 DSC 남아 즈로즈 04 쿨 냉감 인견 스판 남아동 드로즈 사각 팬티 2매입 세트","모델명 : CBDABMAS07, 사이즈 : 70(9~10세)","10500","4","42000","부가세","20200605082434-34418368178","배송완료"
"","M1244042-00000000010","LB1073","LB1073 럭센스 쿨 냉감 인견 메쉬 여자 노와이어 몰드 광폭 브라 A컵","사이즈 : 95A, 색상 : 스킨(SK)","7475","3","22425","부가세","20200605082434-34418368178","배송완료"
"","M1244053-00000000006","CBDABMAS01","첨이첨이 DSC 남아 즈로즈 01 쿨 메쉬 스판 남아동 드로즈 사각 팬티 2매입 세트","모델명 : CBDABMAS01, 사이즈 : 90(+500)","8500","1","9000","부가세","20200605082434-34418368178","배송완료"
"","M1244053-00000000005","CBDABMAS01","첨이첨이 DSC 남아 즈로즈 01 쿨 메쉬 스판 남아동 드로즈 사각 팬티 2매입 세트","모델명 : CBDABMAS01, 사이즈 : 85(+500)","8500","1","9000","부가세","20200605082434-34418368178","배송완료"
"","M1244141-00000000001","CBDABFAE31","첨이첨이 DSC 여아 모달 브리프 01 스판 여아동 삼각 팬티 3매입 세트","모델명 : CBDABFAE31, 사이즈 : 55(3~4세)","9500","1","9500","부가세","20200605082434-34418368178","배송완료"
"","M1244223-00000000004","DDMRV021","DDMRV021 돈앤돈스 남성 컬러 런닝 순면 남자 민소매 나시","사이즈 : 100, 색상 : SB(연하늘)","2600","2","5200","부가세","20200605082434-34418368178","배송완료"
"","M1244223-00000000006","DDMRV021","DDMRV021 돈앤돈스 남성 컬러 런닝 순면 남자 민소매 나시","사이즈 : 100, 색상 : BY(청회색)","2600","1","2600","부가세","20200605082434-34418368178","배송완료"
"","M1244230-00000000006","CDDBBMAE03","첨이첨이 DFC 남아 브리프 02 남아동 40수 순면 편면 삼각 팬티 3매입 세트","모델명 : CDDBBMAE03, 사이즈 : 85(+500)","6950","1","7450","부가세","20200605082434-34418368178","배송완료"
